Epoch: 1 | Loss: 0.7348154783248901 | Accuracy: 0.607
Epoch: 2 | Loss: 0.7503625750541687 | Accuracy: 0.5033
Epoch: 3 | Loss: 0.7270883321762085 | Accuracy: 0.5227
Epoch: 4 | Loss: 0.7274648547172546 | Accuracy: 0.5795
Epoch: 5 | Loss: 0.7337662577629089 | Accuracy: 0.5478
Epoch: 6 | Loss: 0.7234071493148804 | Accuracy: 0.6215
Epoch: 7 | Loss: 0.7298629879951477 | Accuracy: 0.5283
Epoch: 8 | Loss: 0.731231689453125 | Accuracy: 0.5254
Epoch: 9 | Loss: 0.7300702929496765 | Accuracy: 0.5139
Epoch: 10 | Loss: 0.7276298999786377 | Accuracy: 0.5458
Epoch: 11 | Loss: 0.7246233820915222 | Accuracy: 0.5737
Epoch: 12 | Loss: 0.7148225903511047 | Accuracy: 0.6124
Epoch: 13 | Loss: 0.7177377343177795 | Accuracy: 0.5914
Epoch: 14 | Loss: 0.7038852572441101 | Accuracy: 0.6309
Epoch: 15 | Loss: 0.7188689708709717 | Accuracy: 0.5457
Epoch: 16 | Loss: 0.7321414351463318 | Accuracy: 0.5379
Epoch: 17 | Loss: 0.7157961130142212 | Accuracy: 0.5763
Epoch: 18 | Loss: 0.701065182685852 | Accuracy: 0.6007
Epoch: 19 | Loss: 0.7019489407539368 | Accuracy: 0.5541
Epoch: 20 | Loss: 0.7086856365203857 | Accuracy: 0.5874
Epoch: 21 | Loss: 0.7091697454452515 | Accuracy: 0.6252
Epoch: 22 | Loss: 0.7183295488357544 | Accuracy: 0.5851
Epoch: 23 | Loss: 0.7104173898696899 | Accuracy: 0.5754
Epoch: 24 | Loss: 0.7113777995109558 | Accuracy: 0.5828
Epoch: 25 | Loss: 0.7163774967193604 | Accuracy: 0.5737
Epoch: 26 | Loss: 0.7051733136177063 | Accuracy: 0.6293
Epoch: 27 | Loss: 0.7214015126228333 | Accuracy: 0.5791
Epoch: 28 | Loss: 0.7048837542533875 | Accuracy: 0.59
Epoch: 29 | Loss: 0.6922593712806702 | Accuracy: 0.6295
Epoch: 30 | Loss: 0.7204927802085876 | Accuracy: 0.5768
Epoch: 31 | Loss: 0.715046226978302 | Accuracy: 0.6124
Epoch: 32 | Loss: 0.7338066697120667 | Accuracy: 0.5741
Epoch: 33 | Loss: 0.715165376663208 | Accuracy: 0.5849
Epoch: 34 | Loss: 0.690531849861145 | Accuracy: 0.6348
Epoch: 35 | Loss: 0.6972650289535522 | Accuracy: 0.6013
Epoch: 36 | Loss: 0.7111212015151978 | Accuracy: 0.5748
Epoch: 37 | Loss: 0.7407093644142151 | Accuracy: 0.5222
Epoch: 38 | Loss: 0.7092704772949219 | Accuracy: 0.5612
Epoch: 39 | Loss: 0.7145986557006836 | Accuracy: 0.6163
Epoch: 40 | Loss: 0.7352862358093262 | Accuracy: 0.5573
Epoch: 41 | Loss: 0.7428401112556458 | Accuracy: 0.5281
Epoch: 42 | Loss: 0.7346979379653931 | Accuracy: 0.5522
Epoch: 43 | Loss: 0.736151397228241 | Accuracy: 0.5273
Epoch: 44 | Loss: 0.7382708191871643 | Accuracy: 0.5109
Epoch: 45 | Loss: 0.7307612895965576 | Accuracy: 0.5115
Epoch: 46 | Loss: 0.7364054322242737 | Accuracy: 0.5117
Epoch: 47 | Loss: 0.7354869842529297 | Accuracy: 0.502
Epoch: 48 | Loss: 0.7258322834968567 | Accuracy: 0.52
Epoch: 49 | Loss: 0.7260308265686035 | Accuracy: 0.5165
Epoch: 50 | Loss: 0.7266595363616943 | Accuracy: 0.5041
Epoch: 51 | Loss: 0.7261255383491516 | Accuracy: 0.5049
Epoch: 52 | Loss: 0.7190234661102295 | Accuracy: 0.5118
Epoch: 53 | Loss: 0.7239390015602112 | Accuracy: 0.5027
Epoch: 54 | Loss: 0.7274651527404785 | Accuracy: 0.4976
Epoch: 55 | Loss: 0.7218108177185059 | Accuracy: 0.5066
Epoch: 56 | Loss: 0.7240223288536072 | Accuracy: 0.501
Epoch: 57 | Loss: 0.7260720133781433 | Accuracy: 0.5013
Epoch: 58 | Loss: 0.7225882411003113 | Accuracy: 0.4941
Epoch: 59 | Loss: 0.7269665598869324 | Accuracy: 0.4981
Epoch: 60 | Loss: 0.7241045236587524 | Accuracy: 0.4973
Epoch: 61 | Loss: 0.7254750728607178 | Accuracy: 0.4944
Epoch: 62 | Loss: 0.7242737412452698 | Accuracy: 0.4971
Epoch: 63 | Loss: 0.7227782607078552 | Accuracy: 0.498
Epoch: 64 | Loss: 0.7245223522186279 | Accuracy: 0.4979
Epoch: 65 | Loss: 0.7281833291053772 | Accuracy: 0.4969
Epoch: 66 | Loss: 0.7235481142997742 | Accuracy: 0.4977
Epoch: 67 | Loss: 0.7248401045799255 | Accuracy: 0.4932
Epoch: 68 | Loss: 0.7259079217910767 | Accuracy: 0.4961
Epoch: 69 | Loss: 0.7243643999099731 | Accuracy: 0.4952
Epoch: 70 | Loss: 0.7243008017539978 | Accuracy: 0.4985
Epoch: 71 | Loss: 0.7247695922851562 | Accuracy: 0.4976
Epoch: 72 | Loss: 0.7237063646316528 | Accuracy: 0.4968
Epoch: 73 | Loss: 0.7242493629455566 | Accuracy: 0.501
Epoch: 74 | Loss: 0.7221250534057617 | Accuracy: 0.4992
Epoch: 75 | Loss: 0.7255553007125854 | Accuracy: 0.5002
Epoch: 76 | Loss: 0.7232927083969116 | Accuracy: 0.4974
Epoch: 77 | Loss: 0.723486602306366 | Accuracy: 0.4937
Epoch: 78 | Loss: 0.7247049808502197 | Accuracy: 0.4937
Epoch: 79 | Loss: 0.7243276834487915 | Accuracy: 0.4949
Epoch: 80 | Loss: 0.7239475846290588 | Accuracy: 0.4978
Epoch: 81 | Loss: 0.7240221500396729 | Accuracy: 0.4938
Epoch: 82 | Loss: 0.7251778841018677 | Accuracy: 0.4965
Epoch: 83 | Loss: 0.7250362038612366 | Accuracy: 0.4944
Epoch: 84 | Loss: 0.7248520255088806 | Accuracy: 0.4991
Epoch: 85 | Loss: 0.7234654426574707 | Accuracy: 0.496
Epoch: 86 | Loss: 0.7247508764266968 | Accuracy: 0.4997
Epoch: 87 | Loss: 0.7240941524505615 | Accuracy: 0.4943
Epoch: 88 | Loss: 0.7235960364341736 | Accuracy: 0.4997
Epoch: 89 | Loss: 0.7230270504951477 | Accuracy: 0.4968
Epoch: 90 | Loss: 0.7234674096107483 | Accuracy: 0.4981
Epoch: 91 | Loss: 0.7250139713287354 | Accuracy: 0.4946
Epoch: 92 | Loss: 0.7233850359916687 | Accuracy: 0.4938
Epoch: 93 | Loss: 0.7241415977478027 | Accuracy: 0.4975
Epoch: 94 | Loss: 0.7251853942871094 | Accuracy: 0.4966
Epoch: 95 | Loss: 0.7225824594497681 | Accuracy: 0.4973
Epoch: 96 | Loss: 0.7244585156440735 | Accuracy: 0.4959
Epoch: 97 | Loss: 0.7241568565368652 | Accuracy: 0.5016
Epoch: 98 | Loss: 0.7243106365203857 | Accuracy: 0.4942
Epoch: 99 | Loss: 0.7241363525390625 | Accuracy: 0.4983
Epoch: 100 | Loss: 0.7231091856956482 | Accuracy: 0.4985
Model saved accuracy: 0.6348
